Iterations,fitness,chromosome
1360,-106.76389893908478,[-1.58, -3.13]
1370,-106.76389893908478,[-1.58, -3.13]
1380,-106.76389893908478,[-1.58, -3.13]
1390,-106.76389893908478,[-1.58, -3.13]
1400,-106.76389893908478,[-1.58, -3.13]
1410,-106.76389893908478,[-1.58, -3.13]
1420,-106.76389893908478,[-1.58, -3.13]
1430,-106.76389893908478,[-1.58, -3.13]
1440,-106.76389893908478,[-1.58, -3.13]
1450,-106.76389893908478,[-1.58, -3.13]
1460,-106.76389893908478,[-1.58, -3.13]
1470,-106.76389893908478,[-1.58, -3.13]
1480,-106.76389893908478,[-1.58, -3.13]
1490,-106.76389893908478,[-1.58, -3.13]
1500,-106.76389893908478,[-1.58, -3.13]
1510,-106.76389893908478,[-1.58, -3.13]
1520,-106.76389893908478,[-1.58, -3.13]
1530,-106.76389893908478,[-1.58, -3.13]
1540,-106.76389893908478,[-1.58, -3.13]
1550,-106.76389893908478,[-1.58, -3.13]
1560,-106.76389893908478,[-1.58, -3.13]
1570,-106.76389893908478,[-1.58, -3.13]
1580,-106.76389893908478,[-1.58, -3.13]
1590,-106.76389893908478,[-1.58, -3.13]
1600,-106.76389893908478,[-1.58, -3.13]
1610,-106.76389893908478,[-1.58, -3.13]
1620,-106.76389893908478,[-1.58, -3.13]
1630,-106.76389893908478,[-1.58, -3.13]
1640,-106.76389893908478,[-1.58, -3.13]
1650,-106.76389893908478,[-1.58, -3.13]
1660,-106.76389893908478,[-1.58, -3.13]
1670,-106.76389893908478,[-1.58, -3.13]
1680,-106.76389893908478,[-1.58, -3.13]
1690,-106.76389893908478,[-1.58, -3.13]
1700,-106.76389893908478,[-1.58, -3.13]
1710,-106.76389893908478,[-1.58, -3.13]
1720,-106.76389893908478,[-1.58, -3.13]
1730,-106.76389893908478,[-1.58, -3.13]
1740,-106.76389893908478,[-1.58, -3.13]
1750,-106.76389893908478,[-1.58, -3.13]
1760,-106.76389893908478,[-1.58, -3.13]
1770,-106.76389893908478,[-1.58, -3.13]
1780,-106.76389893908478,[-1.58, -3.13]
1790,-106.76389893908478,[-1.58, -3.13]
1800,-106.76389893908478,[-1.58, -3.13]
1810,-106.76389893908478,[-1.58, -3.13]
1820,-106.76389893908478,[-1.58, -3.13]
1830,-106.76389893908478,[-1.58, -3.13]
1840,-106.76389893908478,[-1.58, -3.13]
1850,-106.76389893908478,[-1.58, -3.13]
1860,-106.76389893908478,[-1.58, -3.13]
1870,-106.76389893908478,[-1.58, -3.13]
1880,-106.76389893908478,[-1.58, -3.13]
1890,-106.76389893908478,[-1.58, -3.13]
1900,-106.76389893908478,[-1.58, -3.13]
1910,-106.76389893908478,[-1.58, -3.13]
1920,-106.76389893908478,[-1.58, -3.13]
1930,-106.76389893908478,[-1.58, -3.13]
1940,-106.76389893908478,[-1.58, -3.13]
1950,-106.76389893908478,[-1.58, -3.13]
1960,-106.76389893908478,[-1.58, -3.13]
1970,-106.76389893908478,[-1.58, -3.13]
1980,-106.76389893908478,[-1.58, -3.13]
1990,-106.76389893908478,[-1.58, -3.13]
2000,-106.76389893908478,[-1.58, -3.13]
2010,-106.76389893908478,[-1.58, -3.13]
2020,-106.76389893908478,[-1.58, -3.13]
2030,-106.76389893908478,[-1.58, -3.13]
2040,-106.76389893908478,[-1.58, -3.13]
2050,-106.76389893908478,[-1.58, -3.13]
2060,-106.76389893908478,[-1.58, -3.13]
2070,-106.76389893908478,[-1.58, -3.13]
2080,-106.76389893908478,[-1.58, -3.13]
2090,-106.76389893908478,[-1.58, -3.13]
2100,-106.76389893908478,[-1.58, -3.13]
2110,-106.76389893908478,[-1.58, -3.13]
2120,-106.76389893908478,[-1.58, -3.13]
2130,-106.76389893908478,[-1.58, -3.13]
2140,-106.76389893908478,[-1.58, -3.13]
2150,-106.76389893908478,[-1.58, -3.13]
2160,-106.76389893908478,[-1.58, -3.13]
2170,-106.76389893908478,[-1.58, -3.13]
2180,-106.76389893908478,[-1.58, -3.13]
2190,-106.76389893908478,[-1.58, -3.13]
2200,-106.76389893908478,[-1.58, -3.13]
2210,-106.76389893908478,[-1.58, -3.13]
2220,-106.76389893908478,[-1.58, -3.13]
2230,-106.76389893908478,[-1.58, -3.13]
2240,-106.76389893908478,[-1.58, -3.13]
2250,-106.76389893908478,[-1.58, -3.13]
2260,-106.76389893908478,[-1.58, -3.13]
2270,-106.76389893908478,[-1.58, -3.13]
2280,-106.76389893908478,[-1.58, -3.13]
2290,-106.76389893908478,[-1.58, -3.13]
2300,-106.76389893908478,[-1.58, -3.13]
2310,-106.76389893908478,[-1.58, -3.13]
2320,-106.76389893908478,[-1.58, -3.13]
2330,-106.76389893908478,[-1.58, -3.13]
2340,-106.76389893908478,[-1.58, -3.13]
2350,-106.76389893908478,[-1.58, -3.13]
2360,-106.76389893908478,[-1.58, -3.13]
2370,-106.76389893908478,[-1.58, -3.13]
2380,-106.76389893908478,[-1.58, -3.13]
2390,-106.76389893908478,[-1.58, -3.13]
2400,-106.76389893908478,[-1.58, -3.13]
2410,-106.76389893908478,[-1.58, -3.13]
2420,-106.76389893908478,[-1.58, -3.13]
2430,-106.76389893908478,[-1.58, -3.13]
2440,-106.76389893908478,[-1.58, -3.13]
2450,-106.76389893908478,[-1.58, -3.13]
2460,-106.76389893908478,[-1.58, -3.13]
2470,-106.76389893908478,[-1.58, -3.13]
2480,-106.76389893908478,[-1.58, -3.13]
2490,-106.76389893908478,[-1.58, -3.13]
2500,-106.76389893908478,[-1.58, -3.13]
2510,-106.76389893908478,[-1.58, -3.13]
2520,-106.76389893908478,[-1.58, -3.13]
2530,-106.76389893908478,[-1.58, -3.13]
2540,-106.76389893908478,[-1.58, -3.13]
2550,-106.76389893908478,[-1.58, -3.13]
2560,-106.76389893908478,[-1.58, -3.13]
2570,-106.76389893908478,[-1.58, -3.13]
2580,-106.76389893908478,[-1.58, -3.13]
2590,-106.76389893908478,[-1.58, -3.13]
2600,-106.76389893908478,[-1.58, -3.13]
2610,-106.76389893908478,[-1.58, -3.13]
2620,-106.76389893908478,[-1.58, -3.13]
2630,-106.76389893908478,[-1.58, -3.13]
2640,-106.76389893908478,[-1.58, -3.13]
2650,-106.76389893908478,[-1.58, -3.13]
2660,-106.76389893908478,[-1.58, -3.13]
2670,-106.76389893908478,[-1.58, -3.13]
2680,-106.76389893908478,[-1.58, -3.13]
2690,-106.76389893908478,[-1.58, -3.13]
2700,-106.76389893908478,[-1.58, -3.13]
2710,-106.76389893908478,[-1.58, -3.13]
2720,-106.76389893908478,[-1.58, -3.13]
2730,-106.76389893908478,[-1.58, -3.13]
2740,-106.76389893908478,[-1.58, -3.13]
2750,-106.76389893908478,[-1.58, -3.13]
2760,-106.76389893908478,[-1.58, -3.13]
2770,-106.76389893908478,[-1.58, -3.13]
2780,-106.76389893908478,[-1.58, -3.13]
2790,-106.76389893908478,[-1.58, -3.13]
2800,-106.76389893908478,[-1.58, -3.13]
2810,-106.76389893908478,[-1.58, -3.13]
2820,-106.76389893908478,[-1.58, -3.13]
2830,-106.76389893908478,[-1.58, -3.13]
2840,-106.76389893908478,[-1.58, -3.13]
2850,-106.76389893908478,[-1.58, -3.13]
2860,-106.76389893908478,[-1.58, -3.13]
2870,-106.76389893908478,[-1.58, -3.13]
2880,-106.76389893908478,[-1.58, -3.13]
2890,-106.76389893908478,[-1.58, -3.13]
2900,-106.76389893908478,[-1.58, -3.13]
2910,-106.76389893908478,[-1.58, -3.13]
2920,-106.76389893908478,[-1.58, -3.13]
2930,-106.76389893908478,[-1.58, -3.13]
2940,-106.76389893908478,[-1.58, -3.13]
2950,-106.76389893908478,[-1.58, -3.13]
2960,-106.76389893908478,[-1.58, -3.13]
2970,-106.76389893908478,[-1.58, -3.13]
2980,-106.76389893908478,[-1.58, -3.13]
2990,-106.76389893908478,[-1.58, -3.13]
3000,-106.76389893908478,[-1.58, -3.13]
3010,-106.76389893908478,[-1.58, -3.13]
3020,-106.76389893908478,[-1.58, -3.13]
3030,-106.76389893908478,[-1.58, -3.13]
3040,-106.76389893908478,[-1.58, -3.13]
3050,-106.76389893908478,[-1.58, -3.13]
3060,-106.76389893908478,[-1.58, -3.13]
3070,-106.76389893908478,[-1.58, -3.13]
3080,-106.76389893908478,[-1.58, -3.13]
3090,-106.76389893908478,[-1.58, -3.13]
3100,-106.76389893908478,[-1.58, -3.13]
3110,-106.76389893908478,[-1.58, -3.13]
3120,-106.76389893908478,[-1.58, -3.13]
3130,-106.76389893908478,[-1.58, -3.13]
3140,-106.76389893908478,[-1.58, -3.13]
3150,-106.76389893908478,[-1.58, -3.13]
3160,-106.76389893908478,[-1.58, -3.13]
3170,-106.76389893908478,[-1.58, -3.13]
3180,-106.76389893908478,[-1.58, -3.13]
3190,-106.76389893908478,[-1.58, -3.13]
3200,-106.76389893908478,[-1.58, -3.13]
3210,-106.76389893908478,[-1.58, -3.13]
3220,-106.76389893908478,[-1.58, -3.13]
3230,-106.76389893908478,[-1.58, -3.13]
3240,-106.76389893908478,[-1.58, -3.13]
3250,-106.76389893908478,[-1.58, -3.13]
3260,-106.76389893908478,[-1.58, -3.13]
3270,-106.76389893908478,[-1.58, -3.13]
3280,-106.76389893908478,[-1.58, -3.13]
