Iterations,fitness,chromosome
1470,3.93171604576673,[9.47, 2.54]
1480,3.93171604576673,[9.47, 2.54]
1490,3.93171604576673,[9.47, 2.54]
1500,3.93171604576673,[9.47, 2.54]
1510,3.93171604576673,[9.47, 2.54]
1520,3.93171604576673,[9.47, 2.54]
1530,3.93171604576673,[9.47, 2.54]
1540,3.93171604576673,[9.47, 2.54]
1550,3.93171604576673,[9.47, 2.54]
1560,3.93171604576673,[9.47, 2.54]
1570,3.93171604576673,[9.47, 2.54]
1580,3.93171604576673,[9.47, 2.54]
1590,3.93171604576673,[9.47, 2.54]
1600,3.93171604576673,[9.47, 2.54]
1610,3.93171604576673,[9.47, 2.54]
1620,3.93171604576673,[9.47, 2.54]
1630,3.93171604576673,[9.47, 2.54]
1640,3.93171604576673,[9.47, 2.54]
1650,3.93171604576673,[9.47, 2.54]
1660,3.93171604576673,[9.47, 2.54]
1670,3.93171604576673,[9.47, 2.54]
1680,3.929294342679516,[9.42, 2.54]
1690,3.929294342679516,[9.42, 2.54]
1700,3.929294342679516,[9.42, 2.54]
1710,3.929294342679516,[9.42, 2.54]
1720,3.929294342679516,[9.42, 2.54]
1730,3.929294342679516,[9.42, 2.54]
1740,3.929294342679516,[9.42, 2.54]
1750,3.929294342679516,[9.42, 2.54]
1760,3.929294342679516,[9.42, 2.54]
1770,3.929294342679516,[9.42, 2.54]
1780,3.929294342679516,[9.42, 2.54]
1790,3.929294342679516,[9.42, 2.54]
1800,3.929294342679516,[9.42, 2.54]
1810,3.929294342679516,[9.42, 2.54]
1820,3.929294342679516,[9.42, 2.54]
1830,3.929294342679516,[9.42, 2.54]
1840,3.929294342679516,[9.42, 2.54]
1850,3.929294342679516,[9.42, 2.54]
1860,3.929294342679516,[9.42, 2.54]
1870,3.929294342679516,[9.42, 2.54]
1880,3.929294342679516,[9.42, 2.54]
1890,3.929294342679516,[9.42, 2.54]
1900,3.929294342679516,[9.42, 2.54]
1910,3.929294342679516,[9.42, 2.54]
1920,3.929294342679516,[9.42, 2.54]
1930,3.929294342679516,[9.42, 2.54]
1940,3.929294342679516,[9.42, 2.54]
1950,3.929294342679516,[9.42, 2.54]
1960,3.929294342679516,[9.42, 2.54]
1970,3.929294342679516,[9.42, 2.54]
1980,3.929294342679516,[9.42, 2.54]
1990,3.929294342679516,[9.42, 2.54]
2000,3.929294342679516,[9.42, 2.54]
2010,3.929294342679516,[9.42, 2.54]
2020,3.929294342679516,[9.42, 2.54]
2030,3.929294342679516,[9.42, 2.54]
2040,3.929294342679516,[9.42, 2.54]
2050,3.929294342679516,[9.42, 2.54]
2060,3.929294342679516,[9.42, 2.54]
2070,3.929294342679516,[9.42, 2.54]
2080,3.929294342679516,[9.42, 2.54]
2090,3.929294342679516,[9.42, 2.54]
2100,3.929294342679516,[9.42, 2.54]
2110,3.929294342679516,[9.42, 2.54]
2120,3.929294342679516,[9.42, 2.54]
2130,3.929294342679516,[9.42, 2.54]
2140,3.929294342679516,[9.42, 2.54]
2150,3.929294342679516,[9.42, 2.54]
2160,3.929294342679516,[9.42, 2.54]
2170,3.929294342679516,[9.42, 2.54]
2180,3.929294342679516,[9.42, 2.54]
2190,3.929294342679516,[9.42, 2.54]
2200,3.929294342679516,[9.42, 2.54]
2210,3.929294342679516,[9.42, 2.54]
2220,3.929294342679516,[9.42, 2.54]
2230,3.929294342679516,[9.42, 2.54]
2240,3.929294342679516,[9.42, 2.54]
2250,3.929294342679516,[9.42, 2.54]
2260,3.929294342679516,[9.42, 2.54]
2270,3.929294342679516,[9.42, 2.54]
2280,3.929294342679516,[9.42, 2.54]
2290,3.929294342679516,[9.42, 2.54]
2300,3.929294342679516,[9.42, 2.54]
2310,3.929294342679516,[9.42, 2.54]
2320,3.929294342679516,[9.42, 2.54]
2330,3.929294342679516,[9.42, 2.54]
2340,3.929294342679516,[9.42, 2.54]
2350,3.929294342679516,[9.42, 2.54]
2360,3.929294342679516,[9.42, 2.54]
2370,3.929294342679516,[9.42, 2.54]
2380,3.929294342679516,[9.42, 2.54]
2390,3.929294342679516,[9.42, 2.54]
2400,3.929294342679516,[9.42, 2.54]
2410,3.929294342679516,[9.42, 2.54]
2420,3.929294342679516,[9.42, 2.54]
2430,3.929294342679516,[9.42, 2.54]
2440,3.929294342679516,[9.42, 2.54]
2450,3.929294342679516,[9.42, 2.54]
2460,3.929294342679516,[9.42, 2.54]
2470,3.929294342679516,[9.42, 2.54]
2480,3.929294342679516,[9.42, 2.54]
2490,3.929294342679516,[9.42, 2.54]
2500,3.929294342679516,[9.42, 2.54]
2510,3.929294342679516,[9.42, 2.54]
2520,3.929294342679516,[9.42, 2.54]
2530,3.929294342679516,[9.42, 2.54]
2540,3.929294342679516,[9.42, 2.54]
2550,3.929294342679516,[9.42, 2.54]
2560,3.929294342679516,[9.42, 2.54]
2570,3.929294342679516,[9.42, 2.54]
2580,3.929294342679516,[9.42, 2.54]
2590,3.929294342679516,[9.42, 2.54]
2600,3.929294342679516,[9.42, 2.54]
2610,3.929294342679516,[9.42, 2.54]
2620,3.929294342679516,[9.42, 2.54]
2630,3.929294342679516,[9.42, 2.54]
2640,3.929294342679516,[9.42, 2.54]
2650,3.929294342679516,[9.42, 2.54]
2660,3.929294342679516,[9.42, 2.54]
2670,3.929294342679516,[9.42, 2.54]
2680,3.929294342679516,[9.42, 2.54]
2690,3.929294342679516,[9.42, 2.54]
2700,3.929294342679516,[9.42, 2.54]
2710,3.929294342679516,[9.42, 2.54]
2720,3.929294342679516,[9.42, 2.54]
2730,3.929294342679516,[9.42, 2.54]
2740,3.929294342679516,[9.42, 2.54]
2750,3.929294342679516,[9.42, 2.54]
2760,3.929294342679516,[9.42, 2.54]
2770,3.929294342679516,[9.42, 2.54]
2780,3.929294342679516,[9.42, 2.54]
2790,3.929294342679516,[9.42, 2.54]
2800,3.929294342679516,[9.42, 2.54]
2810,3.929294342679516,[9.42, 2.54]
2820,3.929294342679516,[9.42, 2.54]
2830,3.929294342679516,[9.42, 2.54]
2840,3.929294342679516,[9.42, 2.54]
2850,3.929294342679516,[9.42, 2.54]
2860,3.929294342679516,[9.42, 2.54]
2870,3.929294342679516,[9.42, 2.54]
2880,3.929294342679516,[9.42, 2.54]
2890,3.929294342679516,[9.42, 2.54]
2900,3.929294342679516,[9.42, 2.54]
2910,3.929294342679516,[9.42, 2.54]
2920,3.929294342679516,[9.42, 2.54]
2930,3.929294342679516,[9.42, 2.54]
2940,3.929294342679516,[9.42, 2.54]
2950,3.929294342679516,[9.42, 2.54]
2960,3.929294342679516,[9.42, 2.54]
2970,3.929294342679516,[9.42, 2.54]
2980,3.929294342679516,[9.42, 2.54]
2990,3.929294342679516,[9.42, 2.54]
3000,3.929294342679516,[9.42, 2.54]
3010,3.929294342679516,[9.42, 2.54]
3020,3.929294342679516,[9.42, 2.54]
3030,3.929294342679516,[9.42, 2.54]
3040,3.929294342679516,[9.42, 2.54]
3050,3.929294342679516,[9.42, 2.54]
3060,3.929294342679516,[9.42, 2.54]
3070,3.929294342679516,[9.42, 2.54]
3080,3.929294342679516,[9.42, 2.54]
3090,3.929294342679516,[9.42, 2.54]
3100,3.929294342679516,[9.42, 2.54]
3110,3.929294342679516,[9.42, 2.54]
3120,3.929294342679516,[9.42, 2.54]
3130,3.929294342679516,[9.42, 2.54]
3140,3.929294342679516,[9.42, 2.54]
3150,3.929294342679516,[9.42, 2.54]
3160,3.929294342679516,[9.42, 2.54]
3170,3.929294342679516,[9.42, 2.54]
3180,3.929294342679516,[9.42, 2.54]
3190,3.929294342679516,[9.42, 2.54]
3200,3.929294342679516,[9.42, 2.54]
3210,3.929294342679516,[9.42, 2.54]
3220,3.929294342679516,[9.42, 2.54]
3230,3.929294342679516,[9.42, 2.54]
3240,3.929294342679516,[9.42, 2.54]
3250,3.929294342679516,[9.42, 2.54]
3260,3.929294342679516,[9.42, 2.54]
3270,3.929294342679516,[9.42, 2.54]
3280,3.929294342679516,[9.42, 2.54]
3290,3.929294342679516,[9.42, 2.54]
3300,3.929294342679516,[9.42, 2.54]
3310,3.929294342679516,[9.42, 2.54]
3320,3.929294342679516,[9.42, 2.54]
3330,3.929294342679516,[9.42, 2.54]
3340,3.929294342679516,[9.42, 2.54]
3350,3.929294342679516,[9.42, 2.54]
3360,3.929294342679516,[9.42, 2.54]
3370,3.929294342679516,[9.42, 2.54]
3380,3.929294342679516,[9.42, 2.54]
3390,3.929294342679516,[9.42, 2.54]
3400,3.929294342679516,[9.42, 2.54]
3410,3.929294342679516,[9.42, 2.54]
3420,3.929294342679516,[9.42, 2.54]
3430,3.929294342679516,[9.42, 2.54]
3440,3.929294342679516,[9.42, 2.54]
3450,3.929294342679516,[9.42, 2.54]
3460,3.929294342679516,[9.42, 2.54]
3470,3.929294342679516,[9.42, 2.54]
3480,3.929294342679516,[9.42, 2.54]
3490,3.929294342679516,[9.42, 2.54]
3500,3.929294342679516,[9.42, 2.54]
3510,3.929294342679516,[9.42, 2.54]
3520,3.929294342679516,[9.42, 2.54]
3530,3.929294342679516,[9.42, 2.54]
3540,3.929294342679516,[9.42, 2.54]
3550,3.929294342679516,[9.42, 2.54]
3560,3.929294342679516,[9.42, 2.54]
3570,3.929294342679516,[9.42, 2.54]
3580,3.929294342679516,[9.42, 2.54]
3590,3.929294342679516,[9.42, 2.54]
3600,3.929294342679516,[9.42, 2.54]
3610,3.929294342679516,[9.42, 2.54]
3620,3.929294342679516,[9.42, 2.54]
3630,3.929294342679516,[9.42, 2.54]
3640,3.929294342679516,[9.42, 2.54]
3650,3.929294342679516,[9.42, 2.54]
3660,3.929294342679516,[9.42, 2.54]
3670,3.929294342679516,[9.42, 2.54]
3680,3.929294342679516,[9.42, 2.54]
3690,3.929294342679516,[9.42, 2.54]
3700,3.929294342679516,[9.42, 2.54]
3710,3.929294342679516,[9.42, 2.54]
3720,3.929294342679516,[9.42, 2.54]
3730,3.929294342679516,[9.42, 2.54]
3740,3.929294342679516,[9.42, 2.54]
3750,3.929294342679516,[9.42, 2.54]
3760,3.929294342679516,[9.42, 2.54]
3770,3.929294342679516,[9.42, 2.54]
3780,3.929294342679516,[9.42, 2.54]
3790,3.9284976076962694,[9.45, 2.54]
3800,3.9284976076962694,[9.45, 2.54]
3810,3.9284976076962694,[9.45, 2.54]
3820,3.9284976076962694,[9.45, 2.54]
3830,3.9284976076962694,[9.45, 2.54]
3840,3.9284976076962694,[9.45, 2.54]
3850,3.9284976076962694,[9.45, 2.54]
3860,3.9284976076962694,[9.45, 2.54]
3870,3.9284976076962694,[9.45, 2.54]
3880,3.9284976076962694,[9.45, 2.54]
3890,3.9284976076962694,[9.45, 2.54]
3900,3.9284976076962694,[9.45, 2.54]
3910,3.9284976076962694,[9.45, 2.54]
3920,3.9284976076962694,[9.45, 2.54]
3930,3.9284976076962694,[9.45, 2.54]
3940,3.9284976076962694,[9.45, 2.54]
3950,3.9284976076962694,[9.45, 2.54]
3960,3.9284976076962694,[9.45, 2.54]
3970,3.9284976076962694,[9.45, 2.54]
3980,3.9284976076962694,[9.45, 2.54]
3990,3.9284976076962694,[9.45, 2.54]
4000,3.9284976076962694,[9.45, 2.54]
4010,3.9284976076962694,[9.45, 2.54]
4020,3.9284976076962694,[9.45, 2.54]
4030,3.9284976076962694,[9.45, 2.54]
4040,3.9284976076962694,[9.45, 2.54]
4050,3.9284976076962694,[9.45, 2.54]
4060,3.9284976076962694,[9.45, 2.54]
4070,3.9284976076962694,[9.45, 2.54]
4080,3.9284976076962694,[9.45, 2.54]
4090,3.9284976076962694,[9.45, 2.54]
4100,3.9284976076962694,[9.45, 2.54]
4110,3.9284976076962694,[9.45, 2.54]
4120,3.9284976076962694,[9.45, 2.54]
4130,3.9284976076962694,[9.45, 2.54]
4140,3.9284976076962694,[9.45, 2.54]
4150,3.9284976076962694,[9.45, 2.54]
4160,3.9284976076962694,[9.45, 2.54]
4170,3.9284976076962694,[9.45, 2.54]
4180,3.9284976076962694,[9.45, 2.54]
4190,3.9284976076962694,[9.45, 2.54]
4200,3.9284976076962694,[9.45, 2.54]
4210,3.9284976076962694,[9.45, 2.54]
4220,3.9284976076962694,[9.45, 2.54]
4230,3.9284976076962694,[9.45, 2.54]
4240,3.9284976076962694,[9.45, 2.54]
4250,3.9284976076962694,[9.45, 2.54]
4260,3.9284976076962694,[9.45, 2.54]
4270,3.9284976076962694,[9.45, 2.54]
4280,3.9284976076962694,[9.45, 2.54]
4290,3.9284976076962694,[9.45, 2.54]
4300,3.9284976076962694,[9.45, 2.54]
4310,3.9284976076962694,[9.45, 2.54]
4320,3.9284976076962694,[9.45, 2.54]
4330,3.9284976076962694,[9.45, 2.54]
4340,3.9284976076962694,[9.45, 2.54]
4350,3.9284976076962694,[9.45, 2.54]
4360,3.9284976076962694,[9.45, 2.54]
4370,3.9284976076962694,[9.45, 2.54]
4380,3.9284976076962694,[9.45, 2.54]
4390,3.9284976076962694,[9.45, 2.54]
4400,3.9284976076962694,[9.45, 2.54]
4410,3.9284976076962694,[9.45, 2.54]
4420,3.9284976076962694,[9.45, 2.54]
4430,3.9284976076962694,[9.45, 2.54]
4440,3.9284976076962694,[9.45, 2.54]
4450,3.9284976076962694,[9.45, 2.54]
4460,3.9284976076962694,[9.45, 2.54]
4470,3.9284976076962694,[9.45, 2.54]
4480,3.9284976076962694,[9.45, 2.54]
4490,3.9284976076962694,[9.45, 2.54]
4500,3.9284976076962694,[9.45, 2.54]
4510,3.9284976076962694,[9.45, 2.54]
4520,3.9284976076962694,[9.45, 2.54]
4530,3.9284976076962694,[9.45, 2.54]
