Iterations,fitness,chromosome
770,0.0323999999999999,[1.06, 2.88]
780,0.0323999999999999,[1.06, 2.88]
790,0.0323999999999999,[1.06, 2.88]
800,0.0323999999999999,[1.06, 2.88]
810,0.0323999999999999,[1.06, 2.88]
820,0.0323999999999999,[1.06, 2.88]
830,0.0323999999999999,[1.06, 2.88]
840,0.0323999999999999,[1.06, 2.88]
850,0.0323999999999999,[1.06, 2.88]
860,0.0323999999999999,[1.06, 2.88]
870,0.0323999999999999,[1.06, 2.88]
880,0.0323999999999999,[1.06, 2.88]
890,0.0323999999999999,[1.06, 2.88]
900,0.0323999999999999,[1.06, 2.88]
910,0.0323999999999999,[1.06, 2.88]
920,0.0323999999999999,[1.06, 2.88]
930,0.0323999999999999,[1.06, 2.88]
940,0.0323999999999999,[1.06, 2.88]
950,0.0323999999999999,[1.06, 2.88]
960,0.0323999999999999,[1.06, 2.88]
970,0.0323999999999999,[1.06, 2.88]
980,0.0323999999999999,[1.06, 2.88]
990,0.0323999999999999,[1.06, 2.88]
1000,0.0323999999999999,[1.06, 2.88]
1010,0.0323999999999999,[1.06, 2.88]
1020,0.0323999999999999,[1.06, 2.88]
1030,0.0323999999999999,[1.06, 2.88]
1040,0.0323999999999999,[1.06, 2.88]
1050,0.0323999999999999,[1.06, 2.88]
1060,0.0323999999999999,[1.06, 2.88]
1070,0.0323999999999999,[1.06, 2.88]
1080,0.0323999999999999,[1.06, 2.88]
1090,0.0323999999999999,[1.06, 2.88]
1100,0.0323999999999999,[1.06, 2.88]
1110,0.0323999999999999,[1.06, 2.88]
1120,0.0323999999999999,[1.06, 2.88]
1130,0.0323999999999999,[1.06, 2.88]
1140,0.0323999999999999,[1.06, 2.88]
1150,0.0323999999999999,[1.06, 2.88]
1160,0.0323999999999999,[1.06, 2.88]
1170,0.0323999999999999,[1.06, 2.88]
1180,0.0323999999999999,[1.06, 2.88]
1190,0.0323999999999999,[1.06, 2.88]
1200,0.0323999999999999,[1.06, 2.88]
1210,0.0323999999999999,[1.06, 2.88]
1220,0.0323999999999999,[1.06, 2.88]
1230,0.0323999999999999,[1.06, 2.88]
1240,0.0323999999999999,[1.06, 2.88]
1250,0.0323999999999999,[1.06, 2.88]
1260,0.0323999999999999,[1.06, 2.88]
1270,0.0323999999999999,[1.06, 2.88]
1280,0.0323999999999999,[1.06, 2.88]
1290,0.0323999999999999,[1.06, 2.88]
1300,0.0323999999999999,[1.06, 2.88]
1310,0.0323999999999999,[1.06, 2.88]
1320,0.0323999999999999,[1.06, 2.88]
1330,0.0323999999999999,[1.06, 2.88]
1340,0.0323999999999999,[1.06, 2.88]
1350,0.0323999999999999,[1.06, 2.88]
1360,0.0323999999999999,[1.06, 2.88]
1370,0.0323999999999999,[1.06, 2.88]
1380,0.0323999999999999,[1.06, 2.88]
1390,0.0323999999999999,[1.06, 2.88]
1400,0.0323999999999999,[1.06, 2.88]
1410,0.0323999999999999,[1.06, 2.88]
1420,0.0323999999999999,[1.06, 2.88]
1430,0.0323999999999999,[1.06, 2.88]
1440,0.0323999999999999,[1.06, 2.88]
1450,0.0323999999999999,[1.06, 2.88]
1460,0.0323999999999999,[1.06, 2.88]
1470,0.0323999999999999,[1.06, 2.88]
1480,0.0323999999999999,[1.06, 2.88]
1490,0.0323999999999999,[1.06, 2.88]
1500,0.0323999999999999,[1.06, 2.88]
1510,0.0323999999999999,[1.06, 2.88]
1520,0.0323999999999999,[1.06, 2.88]
1530,0.0323999999999999,[1.06, 2.88]
1540,0.0323999999999999,[1.06, 2.88]
1550,0.0323999999999999,[1.06, 2.88]
1560,0.0323999999999999,[1.06, 2.88]
1570,0.0323999999999999,[1.06, 2.88]
1580,0.0323999999999999,[1.06, 2.88]
1590,0.0323999999999999,[1.06, 2.88]
1600,0.0323999999999999,[1.06, 2.88]
1610,0.0323999999999999,[1.06, 2.88]
1620,0.0323999999999999,[1.06, 2.88]
1630,0.0323999999999999,[1.06, 2.88]
1640,0.0323999999999999,[1.06, 2.88]
1650,0.0323999999999999,[1.06, 2.88]
1660,0.0323999999999999,[1.06, 2.88]
1670,0.0323999999999999,[1.06, 2.88]
1680,0.0323999999999999,[1.06, 2.88]
1690,0.0323999999999999,[1.06, 2.88]
1700,0.0323999999999999,[1.06, 2.88]
1710,0.0323999999999999,[1.06, 2.88]
1720,0.0323999999999999,[1.06, 2.88]
1730,0.0323999999999999,[1.06, 2.88]
1740,0.0323999999999999,[1.06, 2.88]
1750,0.0323999999999999,[1.06, 2.88]
1760,0.0323999999999999,[1.06, 2.88]
1770,0.0323999999999999,[1.06, 2.88]
1780,0.0323999999999999,[1.06, 2.88]
1790,0.0323999999999999,[1.06, 2.88]
1800,0.0323999999999999,[1.06, 2.88]
1810,0.0323999999999999,[1.06, 2.88]
1820,0.0323999999999999,[1.06, 2.88]
1830,0.0323999999999999,[1.06, 2.88]
1840,0.0323999999999999,[1.06, 2.88]
1850,0.0323999999999999,[1.06, 2.88]
1860,0.0323999999999999,[1.06, 2.88]
1870,0.0323999999999999,[1.06, 2.88]
1880,0.0323999999999999,[1.06, 2.88]
1890,0.0323999999999999,[1.06, 2.88]
1900,0.0323999999999999,[1.06, 2.88]
1910,0.0323999999999999,[1.06, 2.88]
1920,0.0323999999999999,[1.06, 2.88]
1930,0.0323999999999999,[1.06, 2.88]
1940,0.0323999999999999,[1.06, 2.88]
1950,0.0323999999999999,[1.06, 2.88]
1960,0.0323999999999999,[1.06, 2.88]
1970,0.0323999999999999,[1.06, 2.88]
1980,0.0323999999999999,[1.06, 2.88]
1990,0.0323999999999999,[1.06, 2.88]
2000,0.0323999999999999,[1.06, 2.88]
2010,0.0323999999999999,[1.06, 2.88]
2020,0.0323999999999999,[1.06, 2.88]
2030,0.0323999999999999,[1.06, 2.88]
2040,0.0323999999999999,[1.06, 2.88]
2050,0.0323999999999999,[1.06, 2.88]
2060,0.0323999999999999,[1.06, 2.88]
2070,0.0323999999999999,[1.06, 2.88]
2080,0.0323999999999999,[1.06, 2.88]
2090,0.0323999999999999,[1.06, 2.88]
2100,0.0323999999999999,[1.06, 2.88]
2110,0.0323999999999999,[1.06, 2.88]
2120,0.0323999999999999,[1.06, 2.88]
2130,0.0323999999999999,[1.06, 2.88]
2140,0.0323999999999999,[1.06, 2.88]
2150,0.0323999999999999,[1.06, 2.88]
2160,0.0323999999999999,[1.06, 2.88]
2170,0.0323999999999999,[1.06, 2.88]
2180,0.0323999999999999,[1.06, 2.88]
2190,0.0323999999999999,[1.06, 2.88]
2200,0.0323999999999999,[1.06, 2.88]
2210,0.0323999999999999,[1.06, 2.88]
2220,0.0323999999999999,[1.06, 2.88]
2230,0.0323999999999999,[1.06, 2.88]
2240,0.0323999999999999,[1.06, 2.88]
2250,0.0323999999999999,[1.06, 2.88]
2260,0.0323999999999999,[1.06, 2.88]
2270,0.0323999999999999,[1.06, 2.88]
2280,0.0323999999999999,[1.06, 2.88]
2290,0.0323999999999999,[1.06, 2.88]
2300,0.0323999999999999,[1.06, 2.88]
2310,0.0323999999999999,[1.06, 2.88]
2320,0.0323999999999999,[1.06, 2.88]
2330,0.0323999999999999,[1.06, 2.88]
2340,0.0323999999999999,[1.06, 2.88]
2350,0.0323999999999999,[1.06, 2.88]
2360,0.0323999999999999,[1.06, 2.88]
2370,0.0323999999999999,[1.06, 2.88]
2380,0.0323999999999999,[1.06, 2.88]
2390,0.0323999999999999,[1.06, 2.88]
2400,0.0323999999999999,[1.06, 2.88]
2410,0.0323999999999999,[1.06, 2.88]
2420,0.0323999999999999,[1.06, 2.88]
2430,0.0323999999999999,[1.06, 2.88]
2440,0.0323999999999999,[1.06, 2.88]
2450,0.0323999999999999,[1.06, 2.88]
2460,0.0323999999999999,[1.06, 2.88]
2470,0.0323999999999999,[1.06, 2.88]
2480,0.0323999999999999,[1.06, 2.88]
2490,0.0072000000000001195,[1.06, 2.94]
2500,0.0072000000000001195,[1.06, 2.94]
2510,0.0072000000000001195,[1.06, 2.94]
2520,0.0072000000000001195,[1.06, 2.94]
2530,0.0072000000000001195,[1.06, 2.94]
2540,0.0072000000000001195,[1.06, 2.94]
2550,0.0072000000000001195,[1.06, 2.94]
2560,0.0072000000000001195,[1.06, 2.94]
2570,0.0072000000000001195,[1.06, 2.94]
2580,0.0072000000000001195,[1.06, 2.94]
2590,0.0072000000000001195,[1.06, 2.94]
2600,0.0072000000000001195,[1.06, 2.94]
2610,0.0072000000000001195,[1.06, 2.94]
2620,0.0072000000000001195,[1.06, 2.94]
2630,0.0072000000000001195,[1.06, 2.94]
2640,0.0072000000000001195,[1.06, 2.94]
2650,0.0072000000000001195,[1.06, 2.94]
2660,0.0072000000000001195,[1.06, 2.94]
2670,0.0072000000000001195,[1.06, 2.94]
2680,0.0072000000000001195,[1.06, 2.94]
2690,0.0072000000000001195,[1.06, 2.94]
2700,0.0072000000000001195,[1.06, 2.94]
2710,0.0072000000000001195,[1.06, 2.94]
2720,0.0072000000000001195,[1.06, 2.94]
2730,0.0072000000000001195,[1.06, 2.94]
2740,0.0072000000000001195,[1.06, 2.94]
2750,0.0072000000000001195,[1.06, 2.94]
2760,0.0072000000000001195,[1.06, 2.94]
2770,0.0072000000000001195,[1.06, 2.94]
2780,0.0072000000000001195,[1.06, 2.94]
2790,0.0072000000000001195,[1.06, 2.94]
2800,0.0072000000000001195,[1.06, 2.94]
2810,0.0072000000000001195,[1.06, 2.94]
2820,0.0072000000000001195,[1.06, 2.94]
2830,0.0072000000000001195,[1.06, 2.94]
2840,0.0072000000000001195,[1.06, 2.94]
2850,0.0072000000000001195,[1.06, 2.94]
2860,0.0072000000000001195,[1.06, 2.94]
2870,0.0072000000000001195,[1.06, 2.94]
2880,0.0072000000000001195,[1.06, 2.94]
2890,0.0072000000000001195,[1.06, 2.94]
2900,0.0072000000000001195,[1.06, 2.94]
2910,0.0072000000000001195,[1.06, 2.94]
2920,0.0072000000000001195,[1.06, 2.94]
2930,0.0072000000000001195,[1.06, 2.94]
2940,0.0072000000000001195,[1.06, 2.94]
2950,0.0072000000000001195,[1.06, 2.94]
2960,0.0072000000000001195,[1.06, 2.94]
2970,0.0072000000000001195,[1.06, 2.94]
2980,0.0072000000000001195,[1.06, 2.94]
2990,0.0072000000000001195,[1.06, 2.94]
3000,0.0072000000000001195,[1.06, 2.94]
3010,0.0072000000000001195,[1.06, 2.94]
3020,0.0072000000000001195,[1.06, 2.94]
3030,0.0072000000000001195,[1.06, 2.94]
3040,0.0072000000000001195,[1.06, 2.94]
3050,0.0072000000000001195,[1.06, 2.94]
3060,0.0072000000000001195,[1.06, 2.94]
3070,0.0072000000000001195,[1.06, 2.94]
3080,0.0072000000000001195,[1.06, 2.94]
3090,0.0072000000000001195,[1.06, 2.94]
3100,0.0072000000000001195,[1.06, 2.94]
3110,0.0072000000000001195,[1.06, 2.94]
3120,0.0072000000000001195,[1.06, 2.94]
3130,0.0072000000000001195,[1.06, 2.94]
3140,0.0072000000000001195,[1.06, 2.94]
3150,0.0072000000000001195,[1.06, 2.94]
3160,0.0072000000000001195,[1.06, 2.94]
3170,0.0072000000000001195,[1.06, 2.94]
3180,0.0072000000000001195,[1.06, 2.94]
3190,0.0072000000000001195,[1.06, 2.94]
3200,0.0072000000000001195,[1.06, 2.94]
3210,0.0072000000000001195,[1.06, 2.94]
3220,0.0072000000000001195,[1.06, 2.94]
3230,0.0072000000000001195,[1.06, 2.94]
3240,0.0072000000000001195,[1.06, 2.94]
3250,0.0072000000000001195,[1.06, 2.94]
3260,0.0072000000000001195,[1.06, 2.94]
3270,0.0072000000000001195,[1.06, 2.94]
3280,0.0072000000000001195,[1.06, 2.94]
3290,0.0072000000000001195,[1.06, 2.94]
3300,0.0072000000000001195,[1.06, 2.94]
3310,0.0072000000000001195,[1.06, 2.94]
3320,0.0072000000000001195,[1.06, 2.94]
3330,0.0072000000000001195,[1.06, 2.94]
3340,0.0072000000000001195,[1.06, 2.94]
3350,0.0072000000000001195,[1.06, 2.94]
3360,0.0072000000000001195,[1.06, 2.94]
3370,0.0072000000000001195,[1.06, 2.94]
3380,0.0072000000000001195,[1.06, 2.94]
3390,0.0072000000000001195,[1.06, 2.94]
3400,0.0072000000000001195,[1.06, 2.94]
